news_collected_time	high_freq_words
2014-11-28	"[('EU', 14), ('Turkey', 13), ('David Cameron', 12), ('Nigeria', 11), ('Wars', 11), ('mosque', 10), ('Force Awakens', 10), (""'Star"", 10), ('snow', 9), ('boys', 9), ('immigration', 9), ('Austin', 9), ('OPEC', 9), ('trailer', 9), ('police', 8), ('NY', 8), ('storm', 8), ('Pope Francis', 8), ('player', 8), ('rescued', 7), ('France', 7), ('Police', 7), ('football', 7), ('missing', 6), ('visit', 6), ('speech', 6), ('attack', 6), ('downtown', 6), ('Palestinian', 6), ('Oil', 6), ('UK', 5), ('killed', 5), ('2', 5), ('Two', 5), ('buried', 5), ('kill', 5), ('war', 5), ('dead', 5), ('Missing', 5), ('new', 5), ('Ohio State', 5), ('gunfire', 5), ('crowded', 5), ('teaser', 5), ('NFL', 5), ('PD', 4), ('James', 4), ('Mexico', 4), ('snowbank', 4), ('plow', 4)]"
2014-11-29	[('Saturday', 16), ('Small Business', 12), ('Turkey', 12), ('attack', 12), ('missing', 11), ('mosque', 10), ('Nigeria', 10), ('Nordstrom', 9), ('charges', 9), ('killed', 9), ('4', 9), ('years', 9), ('court', 8), ('Istanbul', 7), ('behind', 7), ('Egypt', 7), ('Taliban', 7), ('found', 7), ('wall', 7), ('boy', 7), ('Pope', 6), ('State', 6), ('«', 6), ('CBS', 6), ('Chicago', 6), ('100', 6), ('Police', 6), ('ruling', 6), ('Kabul', 6), ('local', 5), ('stores', 5), ('Ray Rice', 5), ('hit', 5), ('Small', 5), ('dead', 5), ('Xinjiang', 5), ('China', 5), ('Egyptian', 5), ('Afghan', 5), ('hug', 5), ('toll', 5), ('attacks', 5), ('Mubarak', 5), ('Mario Cuomo', 5), ('Roger Goodell', 4), ('rounds', 4), ('Man', 4), ('shooting', 4), ('least', 4), ('shoppers', 4)]
2014-11-30	"[('Obama', 14), ('missing', 11), ('years', 11), ('found', 11), ('behind', 11), ('US', 11), ('wall', 10), ('four', 9), ('State', 9), ('4', 8), ('police', 8), ('attack', 8), ('Syria', 8), ('says', 7), ('killed', 7), ('couple', 7), ('death', 7), ('chief', 7), ('Missing', 7), ('Police', 7), (""n't"", 7), ('daughters', 6), ('group', 6), ('President', 6), ('2016', 6), ('alive', 5), ('hidden', 5), ('Alabama', 5), ('boy', 5), ('5', 5), ('immigration', 5), ('attacks', 5), ('Kabul', 5), ('Woman', 5), ('Chicago', 5), ('Pope', 5), ('Islamic', 5), ('AIDS', 5), ('court', 4), ('fake', 4), ('Mubarak', 4), ('rescues', 4), ('boat', 4), ('sinks', 4), ('Egypt', 4), ('Qatar', 4), ('daughter', 4), ('aide', 4), ('child', 4), ('apologizes', 4)]"
2014-12-01	"[('Obama', 15), ('online', 11), ('attack', 10), ('AIDS', 9), ('says', 9), ('US', 9), ('dead', 9), ('GOP', 9), ('resigns', 9), ('police', 8), ('daughters', 8), ('ISIS', 7), (""n't"", 7), ('State', 7), ('sales', 7), ('Nigerian', 7), ('aide', 7), ('cookies', 7), ('4', 7), ('security', 6), ('cookie', 6), ('Police', 6), ('missing', 6), ('South', 6), ('found', 6), ('players', 6), ('military', 6), ('West', 6), ('Virginia', 6), ('immigration', 5), ('Ohio State', 5), ('fight', 5), ('Nigeria', 5), ('Supreme Court', 5), ('Facebook', 5), ('threats', 5), ('Girl', 5), ('HIV/AIDS', 5), ('Packers', 4), ('Patriots', 4), ('Afghan', 4), ('Islamic', 4), ('shooting', 4), ('digital', 4), ('death', 4), ('finds', 4), ('funeral', 4), ('case', 4), ('city', 4), ('woman', 4)]"
2014-12-02	[('Obama', 26), ('Ashton Carter', 11), ('36', 10), ('Lebanon', 10), ('State', 8), ('Kenya', 8), ('leader', 8), ('says', 8), ('Senate', 8), ('Detroit', 8), ('2016', 7), ('new', 7), ('school', 7), ('Israel', 7), ('Defense', 7), ('Netanyahu', 7), ('2', 7), ('Islamic', 6), ('Pentagon', 6), ('elections', 6), ('Gunmen', 5), ('lead', 5), ('resigns', 5), ('Police', 5), ('wife', 5), ('3', 5), ('Leader', 5), ('shutdown', 5), ('immigration', 5), ('Secretary', 5), ('ministers', 5), ('early', 5), ('Tennessee', 5), ('«', 4), ('CBS', 4), ('Dolphins', 4), ('kill', 4), ('quarry', 4), ('Clinton', 4), ('daughters', 4), ('Jets', 4), ('Rob Portman', 4), ('Temple', 4), ('run', 4), ('Wife', 4), ('son', 4), ('ISIS', 4), ('GOP', 4), ('expected', 4), ('police', 4)]
2014-12-03	[('US', 24), ('Iraq', 20), ('Iran', 17), ('State', 14), ('brains', 14), ('Islamic', 13), ('says', 13), ('100', 12), ('Texas', 12), ('case', 11), ('Obama', 11), ('missing', 10), ('University', 10), ('death', 9), ('Abu', 9), ('Dhabi', 9), ('execution', 9), ('air', 8), ('17', 8), ('teacher', 7), ('Iranian', 7), ('ISIS', 7), ('court', 7), ('immigration', 7), ('Cosby', 6), ('Richard III', 6), ('school', 6), ('leader', 6), ('grand', 6), ('jury', 6), ('Eric Garner', 6), ('American', 6), ('index', 6), ('airstrikes', 6), ('strikes', 6), ('stabbed', 6), ('+video', 6), ('UPS', 6), ('Supreme Court', 6), ('Police', 6), ('Pregnant', 6), ('chokehold', 6), ('DNA', 5), ('wife', 5), ('year', 5), ('bomb', 5), ('man', 5), ('claims', 4), ('Israel', 4), ('killed', 4)]
2014-12-04	"[('NASA', 16), ('police', 16), ('US', 15), ('Orion', 14), ('Cleveland', 12), ('Yemen', 11), ('launch', 11), ('Putin', 10), ('CDC', 10), ('force', 10), ('Police', 9), ('Eric Garner', 9), ('American', 8), ('Flu', 8), ('video', 7), ('Philippines', 7), ('hostage', 7), ('Russia', 7), ('vaccine', 7), ('flu', 7), ('excessive', 7), ('use', 7), ('Protests', 6), ('case', 6), ('says', 6), ('Abu', 6), ('Dhabi', 6), ('may', 6), ('Clinton', 6), ('Texas', 5), ('new', 5), ('court', 5), ('Threatens', 5), ('Obama', 5), ('immigration', 5), ('chokehold', 5), (""n't"", 5), ('year', 5), ('season', 5), ('$', 5), ('jury', 4), ('New', 4), ('Protesters', 4), ('typhoon', 4), ('Chechnya', 4), ('Grozny', 4), ('man', 4), ('virus', 4), ('died', 4), ('injuries', 4)]"
2014-12-05	"[('Police', 14), ('US', 10), ('death', 9), ('Philippines', 9), ('Ashton Carter', 9), ('says', 8), ('officer', 8), ('!', 8), ('Obama', 8), ('Orion', 8), ('Cleveland', 7), (""n't"", 7), ('police', 7), ('New York', 7), ('story', 7), ('NASA', 7), ('Test', 7), ('Nelson Mandela', 7), ('human', 6), ('typhoon', 6), ('chokehold', 6), ('Phoenix', 6), ('Report', 6), ('First', 6), ('jobs', 6), ('de', 6), ('rape', 6), ('Protesters', 5), ('Year', 5), ('black', 5), ('man', 5), ('killed', 5), ('arrested', 5), ('Defense', 5), ('year', 5), ('la', 5), ('report', 5), ('Zhou Yongkang', 5), ('UVA', 5), ('Putin', 4), ('murder', 4), ('Court', 4), ('rights', 4), ('Protests', 4), ('One', 4), ('braces', 4), ('storm', 4), ('reform', 4), ('security', 4), ('Kashmir', 4)]"
2014-12-06	[('US', 24), ('Philippines', 14), ('Afghanistan', 14), ('Obama', 11), ('Amtrak', 10), ('profiling', 10), ('Yemen', 10), ('killed', 10), ('police', 9), ('troops', 9), ('man', 9), ('Hagel', 8), ('Eric Garner', 7), ('chief', 7), ('new', 7), ('rescue', 7), ('hostage', 7), ('planned', 7), ('Michigan', 6), ('escapes', 6), ('Rolling Stone', 6), ('Orion', 6), ('makes', 6), ('Typhoon Hagupit', 6), ('failed', 6), ('Cosby', 6), ('Swiss', 5), ('racial', 5), ('train', 5), ('visit', 5), ('kills', 5), ('attempt', 5), ('Typhoon', 5), ('Louisiana', 5), ('NASA', 4), ('hostages', 4), ('NYC', 4), ('fear', 4), ('apology', 4), ('New', 4), ('border', 4), ('rape', 4), ('arrests', 4), ('Pakistan', 4), ('says', 4), ('leader', 4), ('protests', 4), ('Protests', 4), ('Rolling', 4), ('Stone', 4)]
2014-12-07	[('US', 16), ('Pearl Harbor', 13), ('Uber', 11), ('missing', 10), ('Philippines', 10), ('killed', 10), ('driver', 9), ('rape', 9), ('cab', 8), ('attack', 8), ('Yemen', 8), ('prisoners', 8), ('Mexico', 7), ('students', 7), ('2', 7), ('Uruguay', 7), ('arrested', 7), ('rescue', 7), ('Typhoon Hagupit', 6), ('Ohio State', 6), ('Pakistan', 6), ('hostage', 6), ('Obama', 6), ('Guantanamo', 6), ('73rd', 6), ('Oregon', 6), ('failed', 6), ('least', 5), ('43', 5), ('Typhoon', 5), ('kills', 5), ('violent', 5), ('California', 5), ('says', 5), ('Berkeley', 5), ('drone', 5), ('strike', 5), ('suspected', 5), ('reflux', 5), ('India', 5), ('Six', 5), ('Prince', 5), ('Police', 5), ('remains', 5), ('anniversary', 5), ('Alabama', 5), ('typhoon', 5), ('Syrian', 5), ('Israeli', 5), ('Syria', 5)]
