news_collected_time	high_freq_words
2014-11-28	"[('Friday', 42), ('Black', 31), ('Ferguson', 15), ('EU', 14), ('Thanksgiving', 13), ('Turkey', 13), ('boys', 12), ('David Cameron', 12), ('Nigeria', 12), ('snow', 11), ('Wars', 11), ('Austin', 10), ('mosque', 10), ('Force Awakens', 10), (""'Star"", 10), ('police', 9), ('Pope Francis', 9), ('immigration', 9), ('OPEC', 9), ('trailer', 9), ('NY', 8), ('buried', 8), ('storm', 8), ('player', 8), ('missing', 7), ('rescued', 7), ('Two', 7), ('visit', 7), ('attack', 7), ('France', 7), ('Police', 7), ('football', 7), ('shopping', 7), ('killed', 6), ('speech', 6), ('protesters', 6), ('downtown', 6), ('Missing', 6), ('Palestinian', 6), ('PD', 5), ('James', 5), ('dies', 5), ('2', 5), ('snowbank', 5), ('kill', 5), ('war', 5), ('Pope', 5), ('Protesters', 5), ('dead', 5), ('UK', 5)]"
2014-11-29	[('Saturday', 18), ('Friday', 15), ('Ferguson', 13), ('Small Business', 13), ('Turkey', 12), ('attack', 12), ('Nordstrom', 11), ('Black', 11), ('missing', 11), ('mosque', 10), ('Nigeria', 10), ('Police', 9), ('charges', 9), ('killed', 9), ('4', 9), ('years', 9), ('behind', 8), ('court', 8), ('found', 8), ('boy', 8), ('Istanbul', 7), ('Egypt', 7), ('officer', 7), ('Taliban', 7), ('wall', 7), ('Pope', 6), ('protests', 6), ('hit', 6), ('«', 6), ('CBS', 6), ('Chicago', 6), ('100', 6), ('shoppers', 6), ('15', 6), ('dead', 6), ('ruling', 6), ('day', 6), ('Kabul', 6), ('Mubarak', 6), ('local', 5), ('stores', 5), ('State', 5), ('deals', 5), ('Ray Rice', 5), ('Dead', 5), ('Man', 5), ('Monday', 5), ('shooting', 5), ('least', 5), ('Hosni Mubarak', 5)]
2014-11-30	"[('police', 21), ('Hong Kong', 16), ('Obama', 15), ('Monday', 15), ('Police', 14), ('Cyber', 12), ('missing', 11), ('years', 11), ('found', 11), ('behind', 11), ('US', 11), ('wall', 10), ('four', 9), ('killed', 9), ('attack', 9), ('State', 9), ('protesters', 9), ('clash', 9), ('says', 8), ('4', 8), ('Ferguson', 8), ('Syria', 8), (""n't"", 8), ('shot', 7), ('daughters', 7), ('couple', 7), ('deals', 7), ('death', 7), ('chief', 7), ('Woman', 7), ('Chicago', 7), ('store', 7), ('Missing', 7), ('Friday', 7), ('near', 6), ('group', 6), ('Nordstrom', 6), ('dies', 6), ('protests', 6), ('2014', 6), ('Black', 6), ('President', 6), ('2016', 6), ('alive', 5), ('hidden', 5), ('Alabama', 5), ('shooting', 5), ('boy', 5), ('5', 5), ('immigration', 5)]"
2014-12-01	"[('Obama', 24), ('Cyber', 15), ('Monday', 14), ('Ferguson', 12), ('online', 12), ('resigns', 12), ('attack', 11), ('police', 11), ('says', 10), ('US', 10), ('Police', 10), ('AIDS', 9), ('Hong Kong', 9), ('sales', 9), ('dead', 9), ('players', 9), ('GOP', 9), (""n't"", 8), ('State', 8), ('Rams', 8), ('daughters', 8), ('Friday', 7), ('ISIS', 7), ('Nigerian', 7), ('aide', 7), ('cookies', 7), ('4', 7), ('security', 6), ('cookie', 6), ('missing', 6), ('South', 6), ('$', 6), ('found', 6), ('military', 6), ('West', 6), ('Virginia', 6), ('immigration', 5), ('Amazon', 5), ('group', 5), ('finds', 5), ('deals', 5), ('Ohio State', 5), ('NFL', 5), ('White House', 5), ('fight', 5), ('Nigeria', 5), ('warns', 5), ('Supreme Court', 5), ('Facebook', 5), ('threats', 5)]"
2014-12-02	[('Obama', 33), ('Ashton Carter', 11), ('36', 10), ('Bill Cosby', 10), ('Lebanon', 10), ('says', 9), ('Senate', 9), ('State', 8), ('resigns', 8), ('Kenya', 8), ('leader', 8), ('Israel', 8), ('Detroit', 8), ('Police', 7), ('2016', 7), ('new', 7), ('school', 7), ('Ferguson', 7), ('Defense', 7), ('Netanyahu', 7), ('2', 7), ('lead', 6), ('Temple University', 6), ('Islamic', 6), ('3', 6), ('Hong Kong', 6), ('police', 6), ('Pentagon', 6), ('elections', 6), ('«', 5), ('CBS', 5), ('Gunmen', 5), ('attack', 5), ('board', 5), ('wife', 5), ('Leader', 5), ('shutdown', 5), ('immigration', 5), ('Secretary', 5), ('fight', 5), ('say', 5), ('ministers', 5), ('early', 5), ('Tennessee', 5), ('Dolphins', 4), ('kill', 4), ('quarry', 4), ('warns', 4), ('Clinton', 4), ('daughters', 4)]
2014-12-03	[('US', 25), ('Iraq', 20), ('Iran', 18), ('State', 15), ('Islamic', 14), ('brains', 14), ('says', 13), ('100', 13), ('Texas', 12), ('Bill Cosby', 11), ('case', 11), ('Obama', 11), ('missing', 10), ('University', 10), ('Abu', 10), ('Dhabi', 10), ('Woman', 9), ('death', 9), ('execution', 9), ('air', 8), ('17', 8), ('immigration', 8), ('claims', 7), ('leader', 7), ('teacher', 7), ('lawsuit', 7), ('Iranian', 7), ('abuse', 7), ('ISIS', 7), ('court', 7), ('Cosby', 6), ('wife', 6), ('Richard III', 6), ('school', 6), ('grand', 6), ('jury', 6), ('Eric Garner', 6), ('index', 6), ('airstrikes', 6), ('strikes', 6), ('stabbed', 6), ('+video', 6), ('UPS', 6), ('Supreme Court', 6), ('Police', 6), ('Pregnant', 6), ('chokehold', 6), ('alleged', 5), ('DNA', 5), ('new', 5)]
2014-12-04	"[('NASA', 18), ('police', 16), ('US', 15), ('Orion', 13), ('Yemen', 12), ('Cleveland', 12), ('launch', 11), ('Police', 11), ('CDC', 10), ('force', 10), ('Eric Garner', 9), ('Putin', 9), ('American', 8), ('video', 8), ('de', 8), ('Philippines', 7), ('Obama', 7), ('hostage', 7), ('Russia', 7), ('Flu', 7), ('vaccine', 7), ('flu', 7), ('excessive', 7), ('use', 7), ('Protests', 6), ('case', 6), (""n't"", 6), ('says', 6), ('Abu', 6), ('Dhabi', 6), ('may', 6), ('Clinton', 6), ('Christmas', 6), ('Texas', 5), ('new', 5), ('court', 5), ('Threatens', 5), ('immigration', 5), ('chokehold', 5), ('year', 5), ('season', 5), ('$', 5), ('en', 5), ('jury', 4), ('Al Qaeda', 4), ('New', 4), ('Protesters', 4), ('typhoon', 4), ('student', 4), ('Chechnya', 4)]"
2014-12-05	"[('de', 25), ('Police', 15), ('Obama', 10), ('US', 10), ('Ashton Carter', 10), ('says', 9), ('death', 9), ('Philippines', 9), ('NASA', 9), ('2015', 9), ('Orion', 9), ('la', 9), ('officer', 8), ('!', 8), ('Nelson Mandela', 8), ('Cleveland', 7), (""n't"", 7), ('police', 7), ('New York', 7), ('chokehold', 7), ('story', 7), ('First', 7), ('Test', 7), ('nominations', 7), ('en', 7), ('Grammy', 7), ('human', 6), ('typhoon', 6), ('Phoenix', 6), ('Report', 6), ('jobs', 6), ('year', 6), ('rape', 6), ('Protesters', 5), ('Year', 5), ('Protests', 5), ('black', 5), ('man', 5), ('killed', 5), ('arrested', 5), ('Defense', 5), ('South Africa', 5), ('Mandela', 5), ('report', 5), ('Rolling', 5), ('Stone', 5), ('UVA', 5), ('Putin', 4), ('murder', 4), ('rights', 4)]"
2014-12-06	[('US', 26), ('Afghanistan', 15), ('Philippines', 14), ('Amtrak', 10), ('profiling', 10), ('Obama', 10), ('troops', 10), ('Yemen', 10), ('killed', 10), ('police', 9), ('man', 9), ('Eric Garner', 8), ('new', 8), ('Hagel', 8), ('chief', 7), ('rescue', 7), ('hostage', 7), ('planned', 7), ('Michigan', 6), ('escapes', 6), ('Rolling Stone', 6), ('Orion', 6), ('makes', 6), ('Typhoon Hagupit', 6), ('failed', 6), ('Cosby', 6), ('Swiss', 5), ('Bill Cosby', 5), ('racial', 5), ('train', 5), ('visit', 5), ('kills', 5), ('attempt', 5), ('Typhoon', 5), ('Louisiana', 5), ('NASA', 4), ('hostages', 4), ('NYC', 4), ('report', 4), ('fear', 4), ('apology', 4), ('New', 4), ('border', 4), ('rape', 4), ('arrests', 4), ('Pakistan', 4), ('investigating', 4), ('says', 4), ('leader', 4), ('protests', 4)]
2014-12-07	[('US', 17), ('Pearl Harbor', 13), ('attack', 12), ('Uber', 12), ('missing', 10), ('Philippines', 10), ('killed', 10), ('driver', 10), ('rape', 10), ('cab', 8), ('Yemen', 8), ('Uruguay', 8), ('prisoners', 8), ('Mexico', 7), ('students', 7), ('2', 7), ('says', 7), ('arrested', 7), ('rescue', 7), ('Typhoon Hagupit', 6), ('Ohio State', 6), ('violent', 6), ('California', 6), ('Pakistan', 6), ('hostage', 6), ('Obama', 6), ('India', 6), ('Guantanamo', 6), ('73rd', 6), ('Oregon', 6), ('failed', 6), ('least', 5), ('43', 5), ('Typhoon', 5), ('kills', 5), ('Berkeley', 5), ('drone', 5), ('strike', 5), ('suspected', 5), ('Delhi', 5), ('reflux', 5), ('Six', 5), ('Prince', 5), ('Police', 5), ('remains', 5), ('anniversary', 5), ('Alabama', 5), ('typhoon', 5), ('Syrian', 5), ('Israeli', 5)]
2014-12-08	"[('US', 24), ('dead', 19), ('3', 13), (""n't"", 13), ('police', 12), ('Uber', 11), ('fire', 11), ('Obama', 10), ('William', 10), ('CIA', 9), ('report', 9), ('rape', 9), ('hostage', 9), ('Berkeley', 9), ('Tamir Rice', 9), ('Prince', 8), ('Kate', 8), ('profiling', 8), ('ban', 8), ('Syria', 7), ('driver', 7), ('kills', 7), ('bear', 7), ('storm', 7), ('8', 7), ('Los Angeles', 7), ('protest', 7), ('BP', 7), ('White House', 7), ('Eric Garner', 6), ('vehicle', 6), ('Delhi', 6), ('death', 6), ('New York', 6), ('injured', 6), ('hits', 6), ('19', 6), ('6', 6), ('says', 6), ('21', 6), ('-', 6), ('release', 6), ('LA', 6), ('Police', 6), ('Report', 6), ('airport', 5), ('UPDATE', 5), ('Yemen', 5), ('shot', 5), ('raid', 5)]"
2014-12-09	"[('Obama', 17), ('Uber', 17), ('plane', 14), ('Police', 12), ('crash', 12), ('report', 11), ('Maryland', 11), ('CIA', 10), ('Report', 9), ('Korean Air', 9), ('6', 8), ('dead', 8), ('William', 8), ('US', 8), (""n't"", 8), ('President', 8), ('rape', 8), ('Colbert', 8), ('Prince', 7), ('released', 7), ('Ferguson', 7), ('Kate', 7), ('California', 7), ('protest', 7), ('Brooklyn', 7), ('synagogue', 7), ('nuts', 7), ('visit', 6), ('takes', 6), ('case', 6), ('Hong Kong', 6), ('«', 6), ('CBS', 6), ('State', 6), ('stabbed', 6), ('resigns', 6), ('``', 6), (""''"", 6), ('LA', 5), ('sites', 5), ('India', 5), ('police', 5), ('Protesters', 5), ('documents', 5), ('student', 5), ('torture', 5), ('NYC', 5), ('pay', 5), ('asks', 5), ('crashes', 4)]"
2014-12-10	"[('CIA', 16), ('Obama', 13), ('Palestinian', 13), ('minister', 12), ('police', 11), ('$', 11), ('death', 10), ('dies', 10), ('policy', 9), ('bill', 8), ('Israeli', 8), ('Time', 8), ('Malala', 8), ('report', 8), ('NFL', 8), (""n't"", 7), ('torture', 7), ('Nobel', 7), ('new', 7), ('12', 7), ('Congress', 6), ('spending', 6), ('Spending', 6), ('Hong Kong', 6), ('California', 6), ('protest', 6), ('Person', 6), ('Year', 6), ('conduct', 6), ('Uber', 5), ('Security', 5), ('appeal', 5), ('adviser', 5), ('apologizes', 5), ('remarks', 5), ('health', 5), ('storm', 5), ('-', 5), ('US', 5), ('Chinese', 5), ('Ebola', 5), ('+video', 5), ('Big', 4), ('murder', 4), ('says', 4), ('Report', 4), ('Government', 4), ('stepped', 4), ('Jewish', 4), ('center', 4)]"
2014-12-11	[('$', 18), ('CIA', 17), ('storm', 14), ('found', 13), ('California', 13), ('Palestinian', 11), ('car', 10), ('3', 10), ('Florida', 9), ('nominations', 9), ('woman', 8), ('Hong Kong', 8), ('protest', 8), ('Kabul', 8), ('killed', 8), ('family', 8), ('Police', 8), ('police', 8), ('2015', 8), ('Golden Globe', 8), ('Dodgers', 7), ('report', 7), ('Time', 7), ('US', 7), ('laser', 7), ('wins', 7), ('million', 7), ('Bill Cosby', 7), ('death', 6), ('protesters', 6), ('torture', 6), ('missing', 6), ('dead', 6), ('predator', 6), ('lottery', 6), ('spending', 6), ('Ebola', 5), ('Amber', 5), ('body', 5), ('bomber', 5), ('Rain', 5), ('Congress', 5), ('puts', 5), ('US Navy', 5), ('Sexual', 5), ('official', 5), ('new', 5), ('UPDATE', 5), ('bill', 5), ('site', 5)]
2014-12-12	"[('Obama', 12), ('bill', 11), ('storm', 10), ('says', 10), ('Palestinian', 10), ('$', 10), ('shot', 9), ('NFL', 9), ('US', 8), ('CIA', 8), ('Senate', 8), ('California', 8), ('prices', 8), ('spending', 7), ('climate', 7), ('family', 7), ('acid', 7), (""n't"", 6), ('heaven', 6), ('capsule', 5), ('Southern California', 5), ('Japan', 5), (""'Pineapple"", 5), ('Express', 5), ('Police', 5), ('executive', 5), ('attack', 5), ('Oil', 5), ('police', 5), ('Pope Francis', 5), ('control', 5), ('go', 5), ('domestic', 5), ('violence', 5), ('House', 4), ('protest', 4), ('Golden Globe', 4), ('Christmas', 4), ('Abe', 4), ('-', 4), ('China', 4), ('end', 4), ('4', 4), ('report', 4), ('Israeli', 4), ('Jewish', 4), ('5', 4), ('lower', 4), ('producer', 4), ('traffic', 4)]"
2014-12-13	"[('Police', 25), ('police', 19), ('missing', 15), ('school', 15), ('shooting', 15), ('landslide', 13), ('arrest', 13), ('Indonesia', 12), ('California', 10), ('100', 10), ('Portland', 10), ('man', 10), ('Senate', 10), ('Adrian Peterson', 10), (""n't"", 9), ('bill', 9), ('high', 9), ('Washington', 8), ('Oregon', 8), ('meteor', 8), ('dead', 7), ('spending', 7), ('$', 7), ('1.1', 7), ('killed', 7), ('Indonesian', 7), ('Afghanistan', 7), ('17', 7), ('NFL', 7), ('shower', 7), ('storm', 6), ('Twitter', 6), ('Obama', 6), ('India', 6), ('State', 6), ('Protesters', 6), ('90', 6), ('union', 6), ('Saturday', 6), ('suspect', 6), ('NYC', 6), ('least', 5), ('march', 5), ('Taliban', 5), ('-', 5), ('18', 5), ('March', 5), ('violence', 5), ('appeal', 5), ('funerals', 5)]"
2014-12-14	[('police', 17), ('Japan', 10), ('climate', 9), ('march', 8), ('shooting', 7), ('Abe', 7), ('US', 7), ('Senate', 7), ('deal', 7), ('killed', 7), ('Jeb Bush', 6), ('$', 6), ('protest', 6), ('Indonesia', 6), ('UN', 6), ('talks', 6), ('Jakell Mitchell', 6), ('Thousands', 5), ('Police', 5), ('dead', 5), ('missing', 5), ('landslide', 5), ('arrested', 5), ('1.1', 5), ('spending', 5), ('bill', 5), ('wins', 5), ('shot', 5), ('Auburn', 5), ('freshman', 5), ('Indonesian', 4), ('Man', 4), ('Portland', 4), ('Congress', 4), ('24', 4), ('Funeral', 4), ('passes', 4), ('killings', 4), ('Lima', 4), ('ruling', 4), ('protests', 4), ('Washington', 4), ('change', 4), ('32', 4), ('football', 4), ('Report', 4), ('2016', 4), ('Turkish', 4), ('Florida', 3), ('election', 3)]
2014-12-15	[]
2014-12-16	"[('Taliban', 3), ('2016', 3), ('menorah', 3), ('lighting', 3), ('says', 3), ('Obama', 3), ('$', 3), ('1.1', 3), ('145', 2), ('Jeb', 2), ('hackers', 2), ('US', 2), ('Judge', 2), (""''"", 2), ('God', 2), ('mom', 2), ('Pakistan', 2), ('Jewish', 2), ('Russians', 2), ('Police', 2), ('Sony', 2), ('Russia', 2), ('rate', 2), ('hike', 2), ('signs', 2), ('trillion', 2), ('spending', 2), ('bill', 2), ('7000', 2), ('body', 2), ('cameras', 2), ('ruble', 2), ('Hanukkah', 2), ('Besiege Pakistan School', 1), ('Leaving', 1), ('Dead', 1), ('Bush', 1), ('decision', 1), ('explore', 1), ('presidential', 1), ('bid', 1), ('scrambles', 1), ('GOP', 1), ('field', 1), ('Public', 1), ('kicks', 1), ('Athens', 1), ('celebration', 1), ('Hanukkah Russians Sell Ruble', 1), ('State-Run', 1)]"
2014-12-17	"[('Pakistan', 16), ('Jeb Bush', 15), ('US', 14), ('Obama', 13), ('Sony', 12), ('school', 12), ('Cuba', 11), ('attack', 10), ('Hamas', 9), ('2016', 8), ('Russia', 8), ('Congress', 8), ('EU', 8), ('list', 8), ('fracking', 8), (""n't"", 7), ('terror', 7), ('meningitis', 7), ('outbreak', 7), ('49ers', 7), ('ban', 7), ('siege', 6), ('Taliban', 6), ('Russian', 6), ('North Korea', 6), ('GOP', 6), ('says', 6), ('massacre', 6), ('Judge', 6), ('First', 6), ('relations', 6), ('US-Cuba', 6), ('Cuomo', 6), ('Senate', 5), ('killed', 5), ('UPDATE', 5), ('race', 5), ('threats', 5), ('bill', 5), ('investigation', 5), ('hack', 5), ('TV', 5), ('Hanukkah', 5), ('mistaken', 5), ('14', 5), ('could', 5), ('role', 5), ('years', 5), ('judge', 4), ('immigration', 4)]"
2014-12-18	"[('US', 5), ('Iraq', 4), ('say', 4), ('leaders', 3), ('calls', 3), ('White House', 3), ('fence', 3), ('Obama', 3), ('officials', 3), ('Stephen Colbert', 3), ('Colorado', 3), ('Australia', 3), ('Cuba', 2), ('satisfied', 2), ('behind', 2), ('Pentagon', 2), ('says', 2), ('Panel', 2), ('Secret Service', 2), ('Say', 2), ('Man', 2), (""'The"", 2), ('Colbert Report', 2), ('Several', 2), ('ISIS', 2), ('killed', 2), ('fire', 2), ('children', 2), ('home', 2), ('police', 2), ('bigger', 2), ('court', 2), ('Home', 2), ('Killed', 2), ('Nebraska', 2), ('Sony', 2), ('North Korea', 2), ('8', 2), ('businesses', 1), ('tourists', 1), ('opportunities', 1), ('abound', 1), ('Authorities', 1), ('increasingly', 1), ('N.', 1), ('Korea', 1), ('hack', 1), ('Islamic', 1), ('State', 1), ('air', 1)]"
2014-12-19	"[('Obama', 31), ('US', 23), ('Pakistan', 19), ('Cuba', 18), ('Sony', 17), ('children', 15), ('killed', 12), ('attack', 11), ('dead', 11), ('found', 11), ('8', 10), ('says', 10), ('Australia', 9), ('State', 9), ('Colorado', 9), ('North Korea', 9), ('Cairns', 9), (""n't"", 8), ('school', 8), ('home', 7), ('militants', 7), ('deaths', 7), ('say', 6), ('hack', 6), ('Secret Service', 6), ('massacre', 6), ('mother', 6), ('Eight', 5), ('Children', 5), ('Islamic', 5), ('Iraq', 5), ('bail', 5), ('relations', 5), ('court', 5), ('suspect', 5), ('arrested', 5), ('US-Cuba', 5), ('dies', 5), ('New York', 5), ('boy', 5), ('5', 5), ('death', 5), ('vows', 5), ('James Holmes', 5), ('parents', 5), ('response', 5), ('Staples', 5), ('Florida', 5), ('leaders', 4), ('air', 4)]"
